id,grid_cell,acquired,satellite_id,sun_elevation,pixel_resolution,rows,epsg_code,cloud_cover,ground_control,provider,anomalous_pixels,columns,catalog_id,updated,black_fill,sun_azimuth,origin_y,origin_x,view_angle,strip_id,usable_data,item_type,gsd,published
20170308_183147_1354107_RapidEye-1,1354107,2017-03-08T18:31:47Z,RapidEye-1,51.33504,5,5000,32613,1,rapideye,0,5000,6.5,2017-03-11T12:10:34Z,0,0,161.23021,3624500.0,307500,-12.8793,30357352,REOrthoTile,30352601,2017-03-09T13:01:43Z
20170225_181801_1354107_RapidEye-5,1354107,2017-02-25T18:18:01Z,RapidEye-5,46.10971,5,5000,32613,0,True,rapideye,0.48,5000,30201448,2017-06-08T13:10:27Z,0.49,157.37888,3624500,307500,0.20458,30201335,0.52,REOrthoTile,6.5,2017-02-26T14:15:29Z
20170205_181501_1354107_RapidEye-4,1354107,2017-02-05T18:15:01Z,RapidEye-4,39.27236,5,5000,32613,0,True,rapideye,0.24,5000,29912107,2017-06-08T14:20:10Z,0.24,159.09882,3624500,307500,0.10617,29912048,0.76,REOrthoTile,6.5,2017-02-06T13:31:31Z
20170131_181006_1354107_RapidEye-4,1354107,2017-01-31T18:10:06Z,RapidEye-4,37.53698,5,5000,32613,0,True,rapideye,0,5000,29848915,2017-06-08T15:04:24Z,0,158.42835,3624500,307500,10.08918,29848855,1,REOrthoTile,6.5,2017-02-01T18:16:03Z
20170104_182441_1354107_RapidEye-5,1354107,2017-01-04T18:24:41Z,RapidEye-5,33.71763,5,5000,32613,0,True,rapideye,0.17,5000,29437219,2017-06-08T17:05:01Z,0.17,166.61579,3624500,307500,-6.43618,29437138,0.83,REOrthoTile,6.5,2017-01-05T12:55:56Z
20161106_182735_1354107_RapidEye-3,1354107,2016-11-06T18:27:35Z,RapidEye-3,40.94409,5,5000,32613,0.36,rapideye,0.64,5000,6.5,2017-04-14T20:19:07Z,0,0.64,172.44664,3624500.0,307500,-16.48367,28632519,REOrthoTile,28631163,2016-11-07T12:19:56Z
20140126_185107_1354107_RapidEye-2,1354107,2014-01-26T18:51:07Z,RapidEye-2,38.4834,5,5000,32613,0.76,rapideye,0.24,5000,6.5,2017-04-13T22:22:34Z,0,0.24,171.16938,3624500.0,307500,3.59867,27597398,REOrthoTile,15333799,2016-08-30T17:44:44Z
20160410_182535_1354107_RapidEye-3,1354107,2016-04-10T18:25:35Z,RapidEye-3,63.85926,5,5000,32613,1,rapideye,0,5000,6.5,2017-04-14T15:31:02Z,0,0,155.1041,3624500.0,307500,6.76948,25222772,REOrthoTile,25210659,2016-08-19T03:13:32Z
20160226_184502_1354107_RapidEye-1,1354107,2016-02-26T18:45:02Z,RapidEye-1,47.96265,5,5000,32613,0.15,rapideye,0.85,5000,6.5,2017-04-14T14:30:02Z,0,0.85,166.81648,3624500.0,307500,-12.98251,24605277,REOrthoTile,24603560,2016-08-19T03:01:33Z
20160227_184830_1354107_RapidEye-2,1354107,2016-02-27T18:48:30Z,RapidEye-2,48.49895,5,5000,32613,0.1,rapideye,0.9,5000,6.5,2017-04-14T14:31:37Z,0,0.9,168.03664,3624500.0,307500,-12.86922,24614880,REOrthoTile,24613801,2016-08-19T03:00:51Z
20160228_182318_1354107_RapidEye-4,1354107,2016-02-28T18:23:18Z,RapidEye-4,47.35592,5,5000,32613,0.09,rapideye,0.91,5000,6.5,2017-04-14T14:32:48Z,0,0.91,158.93095,3624500.0,307500,6.79384,24628083,REOrthoTile,24627431,2016-08-19T02:59:54Z
20160414_183624_1354107_RapidEye-2,1354107,2016-04-14T18:36:24Z,RapidEye-2,66.17829,5,5000,32613,0.99,rapideye,0.01,5000,6.5,2017-04-14T15:36:44Z,0,0.01,160.54192,3624500.0,307500,6.98631,25273784,REOrthoTile,25269170,2016-08-19T02:52:41Z
20160302_183308_1354107_RapidEye-2,1354107,2016-03-02T18:33:08Z,RapidEye-2,49.18709,5,5000,32613,1,rapideye,0,5000,6.5,2017-04-14T14:37:04Z,0,0,162.16913,3624500.0,307500,13.60548,24671083,REOrthoTile,24670007,2016-08-18T23:49:24Z
20151120_182902_1354107_RapidEye-4,1354107,2015-11-20T18:29:02Z,RapidEye-4,37.48586,5,5000,32613,1,rapideye,0,5000,6.5,2017-04-14T12:19:29Z,0,0,172.80627,3624500.0,307500,6.75017,23281020,REOrthoTile,23278364,2016-08-18T23:27:30Z
20140324_184721_1354107_RapidEye-2,1354107,2014-03-24T18:47:21Z,RapidEye-2,58.52892,5,5000,32613,0.2,rapideye,0.8,5000,6.5,2017-04-13T23:19:03Z,0,0.8,167.23122,3624500.0,307500,16.90652,25783491,REOrthoTile,15874613,2016-08-18T22:23:55Z
20160709_184101_1354107_RapidEye-2,1354107,2016-07-09T18:41:01Z,RapidEye-2,77.5578,5,5000,32613,0.64,rapideye,0.36,5000,6.5,2017-04-14T17:35:25Z,0,0.36,143.27873,3624500.0,307500,-9.7665,26632420,REOrthoTile,26629475,2016-08-18T21:26:18Z
20160124_183625_1354107_RapidEye-2,1354107,2016-01-24T18:36:25Z,RapidEye-2,37.31143,5,5000,32613,0.78,rapideye,0.22,5000,6.5,2017-04-14T13:44:38Z,0,0.22,167.12386,3624500.0,307500,6.94197,24148984,REOrthoTile,24144539,2016-08-18T04:09:51Z
20160111_183858_1354107_RapidEye-3,1354107,2016-01-11T18:38:58Z,RapidEye-3,35.04383,5,5000,32613,1,rapideye,0,5000,6.5,2017-04-14T13:27:46Z,0,0,169.63052,3624500.0,307500,-13.04626,23975823,REOrthoTile,23974281,2016-08-18T04:08:59Z
20160109_184110_1354107_RapidEye-1,1354107,2016-01-09T18:41:10Z,RapidEye-1,34.85913,5,5000,32613,0.07,rapideye,0.93,5000,6.5,2017-04-14T13:24:03Z,0,0.93,170.53009,3624500.0,307500,-6.41413,23953866,REOrthoTile,23951999,2016-08-18T04:05:06Z
20160204_184107_1354107_RapidEye-3,1354107,2016-02-04T18:41:07Z,RapidEye-3,40.3678,5,5000,32613,0.47,rapideye,0.53,5000,6.5,2017-04-14T14:00:19Z,0,0.53,167.21962,3624500.0,307500,-16.38642,24286934,REOrthoTile,24285568,2016-08-18T04:03:01Z
