iteration,num.plants,plant.size,aim.sum,aim.count,aim.multiples,haf.sum,haf.count,haf.duplicates,plot.average,plot.max
65,Dense,Small,22.11991336,6,0,22.43663616,1,0,22.0271005,23.40670294
66,Dense,Small,22.5185368,11,1,23.08934318,4,1,22.04113338,23.42464038
67,Dense,Small,23.28575185,8,2,23.69154415,2,0,22.07788657,23.4522401
68,Dense,Small,23.43319629,16,1,24.30851374,6,1,22.04063026,23.43749803
69,Dense,Small,22.33789979,6,0,23.23439441,2,0,22.17829313,23.48483087
70,Dense,Small,21.43483336,1,0,0,0,0,22.00114461,23.33429906
71,Dense,Small,22.76216232,11,0,23.54087034,3,0,22.00940508,23.41689989
72,Dense,Small,23.0793815,5,0,23.78341329,2,1,22.04731731,23.38157747
73,Dense,Small,23.50947514,6,1,23.74122828,4,1,22.16844435,23.48394581
74,Dense,Small,23.17474158,3,0,0,0,0,22.13499179,23.44602461
75,Dense,Small,22.30033157,5,0,22.82596557,2,0,22.2214336,23.54503419
76,Dense,Small,23.40827296,2,0,24.11217651,1,0,22.11529153,23.49291314
77,Dense,Small,23.00658697,6,0,23.53269117,4,1,22.0923319,23.43299323
78,Dense,Small,22.57063612,10,2,23.33596575,5,0,22.04595524,23.36617693
79,Dense,Small,23.02755162,8,0,24.19450537,3,0,22.11947662,23.51059935
80,Dense,Small,23.2105305,9,0,23.30570619,2,0,22.11471561,23.42640867
81,Dense,Small,22.45472083,9,0,23.06243986,3,1,22.20013848,23.56268437
82,Dense,Small,22.49526134,6,0,24.24222729,1,0,22.04013467,23.4499094
83,Dense,Small,22.82351591,8,1,23.17623404,4,0,22.14585049,23.56055859
84,Dense,Small,22.60952533,14,1,23.20167331,5,0,22.03164167,23.32575451
85,Dense,Small,23.5523723,7,0,23.72494398,3,0,22.26249153,23.59386995
86,Dense,Small,23.2883334,7,0,23.10022695,2,0,22.23885706,23.56383753
87,Dense,Small,22.80122874,11,2,23.48530875,5,0,22.14553397,23.53013775
